[2026-09-12 16:18:53] INFO: Session isolation fixture active for worker with x-test-session-id: pw-w3-2-1789195733909-pj1v
[2026-09-12 16:18:53] INFO:  Registration setup status Success !! Actual and Expected Values are:: 201
[2026-09-12 16:18:54] INFO:  Login response status Success !! Actual and Expected Values are:: 200
[2026-09-12 16:18:54] INFO:  Login response is an object Success !! Actual and Expected Values are:: object
[2026-09-12 16:18:54] INFO:  Login response is not null Success !! Actual and Expected Values are:: true
[2026-09-12 16:18:54] INFO:  Login message is a string Success !! Actual and Expected Values are:: string
[2026-09-12 16:18:54] INFO:  Login username is a string Success !! Actual and Expected Values are:: string
[2026-09-12 16:18:54] INFO:  Login message Success !! Actual and Expected Values are:: Login successful
[2026-09-12 16:18:54] INFO:  Logged in username matches request Success !! Actual and Expected Values are:: johndoe17891957339234ee85df0@
[2026-09-12 16:18:54] INFO:  Login response contains only expected contract fields Success !! Actual and Expected Values are:: ["message","username"]
[2026-09-12 16:18:54] INFO: Cleaned up ephemeral test session: pw-w3-2-1789195733909-pj1v
