[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book id 11 has expected contract Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book id 12 has expected contract Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book id 13 has expected contract Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book id 14 has expected contract Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book id 15 has expected contract Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book entry is an object Success !! Actual and Expected Values are:: object
[2026-09-13 16:36:31] INFO:  Book entry is not null Success !! Actual and Expected Values are:: true
[2026-09-13 16:36:31] INFO:  Book id is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book title is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book author is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book price is a number Success !! Actual and Expected Values are:: number
[2026-09-13 16:36:31] INFO:  Book genre is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book description is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO:  Book image is a string Success !! Actual and Expected Values are:: string
[2026-09-13 16:36:31] INFO: Cleaned up ephemeral test session: pw-w2-1-1789283190819-bxj9
